photo_id,filename,x1,y1,x2,y2,conf,blur_score,task,Score A,Score B,Score C,Load Factor,Activity score,Coupling Factor,RScore A,RScoreB,RScoreC,Frebascore
0,1_VID_20231026_123736025__f000070__t001.jpg,359.0641479,411.18396,604.2958984,1008.442871,0.850114763,1044.122684,DEM,4,2,4,2.0,1.0,1.0,6.0,3.0,6.0,7.0
1,1_VID_20231026_123736025__f000249__t001.jpg,379.2043762,534.4208984,690.7518921,1083.898926,0.898303628,990.351848,DEM,6,4,7,2.0,1.0,1.0,8.0,5.0,10.0,11.0
2,1_VID_20231026_123736025__f000382__t001.jpg,465.6566772,596.949585,768.381958,1090.553467,0.922144651,1016.642513,DEM,6,4,7,2.0,1.0,1.0,8.0,5.0,10.0,11.0
5,1_VID_20231026_123736025__f000641__t001.jpg,386.4225769,405.2165833,646.4810791,1012.622742,0.908295333,1022.340273,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
6,1_VID_20231026_123736025__f000770__t001.jpg,224.1340332,446.8658447,671.1730957,1000.863281,0.912908673,1071.648949,DEM,5,4,5,2.0,1.0,1.0,7.0,5.0,9.0,10.0
7,1_VID_20231026_123736025__f000860__t001.jpg,252.323761,454.2233582,697.3482056,987.2042847,0.903979242,1017.941102,DEM,6,4,7,2.0,1.0,1.0,8.0,5.0,10.0,11.0
8,1_VID_20231026_123736025__f001141__t001.jpg,389.7531738,451.5977478,755.9160156,1010.621704,0.906718552,1070.754928,DEM,6,4,7,2.0,1.0,1.0,8.0,5.0,10.0,11.0
9,1_VID_20231026_123736025__f001143__t002.jpg,125.1908569,266.9558411,334.5705261,1040.7229,0.906558931,1069.768071,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
12,1_VID_20231026_123736025__f001573__t005.jpg,727.3490601,507.1956787,958.4019775,1085.634033,0.901955664,897.210916,DEM,6,2,6,2.0,1.0,1.0,8.0,3.0,8.0,9.0
14,1_VID_20231026_123736025__f001663__t005.jpg,687.8292847,481.0894775,949.1853638,1038.394653,0.911491632,979.6201284,DEM,5,4,5,2.0,1.0,1.0,7.0,5.0,9.0,10.0
15,1_VID_20231026_123736025__f001671__t002.jpg,429.7199707,242.9519958,687.9199219,1001.96521,0.888923109,977.8336044,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
16,1_VID_20231026_123736025__f001757__t005.jpg,679.1243286,605.9662476,891.7174683,1176.244141,0.895761549,924.4481512,DEM,5,2,4,2.0,1.0,1.0,7.0,3.0,7.0,8.0
17,1_VID_20231026_123736025__f001811__t005.jpg,598.486084,604.2544556,811.3666382,1151.919312,0.894882202,900.4003757,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
18,1_VID_20231026_123736025__f001845__t002.jpg,242.8631592,476.9051514,522.1590576,1075.807007,0.9185583,879.5868827,DEM,7,1,7,2.0,1.0,1.0,9.0,2.0,9.0,10.0
19,1_VID_20231026_123736025__f001888__t002.jpg,207.2705383,504.2767639,494.4512634,1076.228882,0.916294038,819.6716112,DEM,7,8,10,2.0,1.0,1.0,9.0,9.0,11.0,12.0
21,1_VID_20231026_123736025__f001949__t002.jpg,203.9219055,505.9719543,494.9722595,1063.20813,0.916101515,844.8707365,DEM,7,2,7,2.0,1.0,1.0,9.0,3.0,9.0,10.0
23,1_VID_20231026_123736025__f002039__t002.jpg,145.6464386,553.8417969,494.0716248,1064.256104,0.9149369,866.488269,DEM,7,5,9,2.0,1.0,1.0,9.0,6.0,10.0,11.0
24,1_VID_20231026_123736025__f002107__t005.jpg,632.7979126,307.7933655,917.1467285,1100.911987,0.906213701,908.7075257,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
26,1_VID_20231026_123736025__f002189__t005.jpg,671.7730713,304.3340149,874.4824219,1099.972168,0.883942008,875.5209831,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
27,1_VID_20231026_123736025__f002392__t002.jpg,107.1721725,526.3912354,472.2227783,1042.755981,0.921872973,884.7674951,DEM,8,5,10,2.0,1.0,1.0,10.0,6.0,11.0,12.0
28,1_VID_20231026_123736025__f002538__t002.jpg,184.2389679,545.8352661,560.4361572,1081.173584,0.923383534,1008.755466,DEM,7,5,9,2.0,1.0,1.0,9.0,6.0,10.0,11.0
29,1_VID_20231026_123736025__f002562__t005.jpg,735.7245483,313.3584595,935.5145874,1114.557617,0.859379053,986.4851805,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
30,1_VID_20231026_123736025__f002628__t002.jpg,257.0220032,520.3708496,599.4460449,1077.687866,0.930965483,1005.736209,DEM,7,5,9,2.0,1.0,1.0,9.0,6.0,10.0,11.0
37,1_VID_20231026_123736025__f003151__t002.jpg,333.8771667,371.5929871,572.8217163,1052.623657,0.900566995,995.9295478,DEM,5,1,4,2.0,1.0,1.0,7.0,2.0,7.0,8.0
39,1_VID_20231026_123736025__f003241__t002.jpg,461.1717834,395.4386292,716.4894409,1033.865356,0.908702195,917.341981,DEM,6,2,6,2.0,1.0,1.0,8.0,3.0,8.0,9.0
42,1_VID_20231026_123736025__f003313__t002.jpg,520.7283936,369.3725586,791.1981812,1026.5,0.876700163,958.4218014,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
43,1_VID_20231026_123736025__f003409__t005.jpg,106.2172012,553.2776489,400.4900208,1037.747803,0.895006597,902.8600198,DEM,5,1,4,2.0,1.0,1.0,7.0,2.0,7.0,8.0
44,1_VID_20231026_123736025__f003432__t002.jpg,488.8240662,319.7174377,773.28125,1014.747925,0.894818246,895.2314891,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
49,1_VID_20231026_123736025__f003860__t005.jpg,120.5419083,345.8780823,447.2867737,1092.033569,0.916081846,590.0730591,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
51,1_VID_20231026_123736025__f003950__t005.jpg,123.0201263,339.0637207,456.5806274,1087.340088,0.924159825,591.2548693,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
